load_level,seed,split,feature,mean,std,min,p05,p50,p95,max
medium,23,train,cqi_t-2,11.20988941192627,3.491377830505371,1.0,3.6196248531341553,12.313613891601562,15.0,15.0
medium,23,train,cqi_t-1,11.190484046936035,3.4985005855560303,1.0,3.516345977783203,12.320096015930176,15.0,15.0
medium,23,train,cqi_now,11.215482711791992,3.4905903339385986,1.0,3.596088409423828,12.329633712768555,15.0,15.0
medium,23,train,cost_q0,0.010364583693444729,0.0020847651176154613,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.029999999329447746
medium,23,train,cost_q1,0.013489584438502789,0.010448778048157692,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.029999999329447746,0.11999999731779099
medium,23,train,cost_q2,0.03160416707396507,0.03567693009972572,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.07999999821186066,0.3700000047683716
medium,23,train,cost_q3,0.06811458617448807,0.09976371377706528,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.17049987614154816,0.9100000262260437
medium,23,train,cost_q4,0.12282290309667587,0.17367789149284363,0.05999999865889549,0.05999999865889549,0.07000000029802322,0.3700000047683716,1.0099999904632568
medium,23,train,cost_q5,0.15657290816307068,0.19664432108402252,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.5299999713897705,1.0099999904632568
medium,23,test,cqi_t-4,12.010323524475098,3.0480971336364746,1.0,5.176619052886963,13.047542572021484,15.0,15.0
medium,23,test,cqi_t-3,11.985638618469238,3.078343152999878,1.0,4.965826988220215,13.097726821899414,15.0,15.0
medium,23,test,cqi_t-2,11.992106437683105,3.069533586502075,1.0,4.849522590637207,13.11274528503418,15.0,15.0
medium,23,test,cqi_t-1,11.965585708618164,3.0420098304748535,1.5693250894546509,4.917312145233154,12.901632308959961,15.0,15.0
medium,23,test,cqi_now,11.984195709228516,3.0394694805145264,1.0,5.175680160522461,12.99102783203125,15.0,15.0
medium,23,test,cost_q0,0.010125000029802322,0.0011110241757705808,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.019999999552965164
medium,23,test,cost_q1,0.01179166603833437,0.00603102520108223,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.019999999552965164,0.05999999865889549
medium,23,test,cost_q2,0.026083333417773247,0.01958085037767887,0.019999999552965164,0.019999999552965164,0.019999999552965164,0.05999999865889549,0.20000000298023224
medium,23,test,cost_q3,0.05364583432674408,0.05213603749871254,0.03999999910593033,0.03999999910593033,0.03999999910593033,0.10999999940395355,0.6700000166893005
medium,23,test,cost_q4,0.0976874977350235,0.12499277293682098,0.05999999865889549,0.05999999865889549,0.05999999865889549,0.24049986898899078,1.0099999904632568
medium,23,test,cost_q5,0.12675000727176666,0.14727900922298431,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.32049986720085144,1.0099999904632568
