dispersion,seed,load,scenario_index,n_scenarios_this_run,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency,fairness
low,seed_0003,heavy,0,5,CQI+cost+regret-graph 3-way union,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,0,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,1,5,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,1,5,CQI+cost 2-way union (paper method),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,1,5,CQI+cost+switching 3-way union (former headline),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,1,5,CQI+cost+regret-graph 3-way union,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,1,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,2,5,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,2,5,CQI+cost 2-way union (paper method),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,2,5,CQI+cost+switching 3-way union (former headline),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,2,5,CQI+cost+regret-graph 3-way union,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,2,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,3,5,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,3,5,CQI+cost 2-way union (paper method),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,3,5,CQI+cost+switching 3-way union (former headline),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,3,5,CQI+cost+regret-graph 3-way union,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,3,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,4,5,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,4,5,CQI+cost 2-way union (paper method),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,4,5,CQI+cost+switching 3-way union (former headline),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,4,5,CQI+cost+regret-graph 3-way union,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0003,heavy,4,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,light,0,5,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,0,5,CQI+cost 2-way union (paper method),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,0,5,CQI+cost+switching 3-way union (former headline),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,0,5,CQI+cost+regret-graph 3-way union,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,0,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,1,5,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,1,5,CQI+cost 2-way union (paper method),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,1,5,CQI+cost+switching 3-way union (former headline),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,1,5,CQI+cost+regret-graph 3-way union,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,1,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,2,5,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,2,5,CQI+cost 2-way union (paper method),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,2,5,CQI+cost+switching 3-way union (former headline),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,2,5,CQI+cost+regret-graph 3-way union,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,2,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,3,5,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,3,5,CQI+cost 2-way union (paper method),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,3,5,CQI+cost+switching 3-way union (former headline),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,3,5,CQI+cost+regret-graph 3-way union,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,3,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0004,light,4,5,CQI k-means,0.5117639396544954,5370.0,1.0,3.8,99.44444444444444,0.945441133077604
low,seed_0004,light,4,5,CQI+cost 2-way union (paper method),0.5247495686513294,5692.5,1.0,3.95,105.41666666666667,0.9862824434451115
low,seed_0004,light,4,5,CQI+cost+switching 3-way union (former headline),0.5247495686513294,5692.5,1.0,3.95,105.41666666666667,0.9862824434451115
low,seed_0004,light,4,5,CQI+cost+regret-graph 3-way union,0.5247495686513294,5692.5,1.0,3.95,105.41666666666667,0.9862824434451115
low,seed_0004,light,4,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.5247495686513294,5692.5,1.0,3.95,105.41666666666667,0.9862824434451115
low,seed_0004,medium,0,5,CQI k-means,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,0,5,CQI+cost 2-way union (paper method),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,0,5,CQI+cost+switching 3-way union (former headline),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,0,5,CQI+cost+regret-graph 3-way union,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,0,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,1,5,CQI k-means,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,1,5,CQI+cost 2-way union (paper method),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,1,5,CQI+cost+switching 3-way union (former headline),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,1,5,CQI+cost+regret-graph 3-way union,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,1,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,2,5,CQI k-means,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,2,5,CQI+cost 2-way union (paper method),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,2,5,CQI+cost+switching 3-way union (former headline),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,2,5,CQI+cost+regret-graph 3-way union,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,2,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,3,5,CQI k-means,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,3,5,CQI+cost 2-way union (paper method),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,3,5,CQI+cost+switching 3-way union (former headline),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,3,5,CQI+cost+regret-graph 3-way union,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,3,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0004,medium,4,5,CQI k-means,0.4203770669210356,2755.0,1.0,2.8,102.03703703703704,0.933553703760647
low,seed_0004,medium,4,5,CQI+cost 2-way union (paper method),0.4404824002932727,2938.75,1.0,2.95,108.8425925925926,0.9833407462229845
low,seed_0004,medium,4,5,CQI+cost+switching 3-way union (former headline),0.4404824002932727,2938.75,1.0,2.95,108.8425925925926,0.9833407462229845
low,seed_0004,medium,4,5,CQI+cost+regret-graph 3-way union,0.4404824002932727,2938.75,1.0,2.95,108.8425925925926,0.9833407462229845
low,seed_0004,medium,4,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.4404824002932727,2938.75,1.0,2.95,108.8425925925926,0.9833407462229845
low,seed_0004,heavy,0,5,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,0,5,CQI+cost 2-way union (paper method),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,0,5,CQI+cost+switching 3-way union (former headline),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,0,5,CQI+cost+regret-graph 3-way union,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,0,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,1,5,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,1,5,CQI+cost 2-way union (paper method),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,1,5,CQI+cost+switching 3-way union (former headline),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,1,5,CQI+cost+regret-graph 3-way union,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,1,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,2,5,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,2,5,CQI+cost 2-way union (paper method),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,2,5,CQI+cost+switching 3-way union (former headline),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,2,5,CQI+cost+regret-graph 3-way union,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,2,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,3,5,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,3,5,CQI+cost 2-way union (paper method),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,3,5,CQI+cost+switching 3-way union (former headline),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,3,5,CQI+cost+regret-graph 3-way union,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,3,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0004,heavy,4,5,CQI k-means,0.1791130664541918,550.0,1.0,1.0,61.111111111111114,1.0
low,seed_0004,heavy,4,5,CQI+cost 2-way union (paper method),0.2970379819001755,1462.5,0.975,2.0,162.5,0.975
low,seed_0004,heavy,4,5,CQI+cost+switching 3-way union (former headline),0.2970379819001755,1462.5,0.975,2.0,162.5,0.975
low,seed_0004,heavy,4,5,CQI+cost+regret-graph 3-way union,0.2970379819001755,1462.5,0.975,2.0,162.5,0.975
low,seed_0004,heavy,4,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.2970379819001755,1462.5,0.975,2.0,162.5,0.975
low,seed_0005,light,0,5,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,0,5,CQI+cost 2-way union (paper method),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,0,5,CQI+cost+switching 3-way union (former headline),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,0,5,CQI+cost+regret-graph 3-way union,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,0,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,1,5,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,1,5,CQI+cost 2-way union (paper method),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,1,5,CQI+cost+switching 3-way union (former headline),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,1,5,CQI+cost+regret-graph 3-way union,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,1,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,2,5,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,2,5,CQI+cost 2-way union (paper method),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,2,5,CQI+cost+switching 3-way union (former headline),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,2,5,CQI+cost+regret-graph 3-way union,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,2,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,3,5,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,3,5,CQI+cost 2-way union (paper method),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,3,5,CQI+cost+switching 3-way union (former headline),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,3,5,CQI+cost+regret-graph 3-way union,0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,3,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.5290781116502739,5800.0,1.0,4.0,107.4074074074074,1.0
low,seed_0005,light,4,5,CQI k-means,0.5204210256523847,5585.0,1.0,3.9,103.42592592592592,0.9726142405013953
low,seed_0005,light,4,5,CQI+cost 2-way union (paper method),0.5204210256523847,5585.0,1.0,3.9,103.42592592592592,0.9726142405013953
low,seed_0005,light,4,5,CQI+cost+switching 3-way union (former headline),0.5204210256523847,5585.0,1.0,3.9,103.42592592592592,0.9726142405013953
low,seed_0005,light,4,5,CQI+cost+regret-graph 3-way union,0.5204210256523847,5585.0,1.0,3.9,103.42592592592592,0.9726142405013953
low,seed_0005,light,4,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.5204210256523847,5585.0,1.0,3.9,103.42592592592592,0.9726142405013953
low,seed_0005,medium,0,5,CQI k-means,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,0,5,CQI+cost 2-way union (paper method),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,0,5,CQI+cost+switching 3-way union (former headline),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,0,5,CQI+cost+regret-graph 3-way union,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,0,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,1,5,CQI k-means,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,1,5,CQI+cost 2-way union (paper method),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,1,5,CQI+cost+switching 3-way union (former headline),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,1,5,CQI+cost+regret-graph 3-way union,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,1,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,2,5,CQI k-means,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,2,5,CQI+cost 2-way union (paper method),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,2,5,CQI+cost+switching 3-way union (former headline),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,2,5,CQI+cost+regret-graph 3-way union,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,2,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,3,5,CQI k-means,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,3,5,CQI+cost 2-way union (paper method),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,3,5,CQI+cost+switching 3-way union (former headline),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,3,5,CQI+cost+regret-graph 3-way union,0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,3,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.44718417808401834,3000.0,1.0,3.0,111.11111111111111,1.0
low,seed_0005,medium,4,5,CQI k-means,0.433780622502527,2877.5,1.0,2.9,106.57407407407408,0.9667116650369959
low,seed_0005,medium,4,5,CQI+cost 2-way union (paper method),0.433780622502527,2877.5,1.0,2.9,106.57407407407408,0.9667116650369959
low,seed_0005,medium,4,5,CQI+cost+switching 3-way union (former headline),0.433780622502527,2877.5,1.0,2.9,106.57407407407408,0.9667116650369959
low,seed_0005,medium,4,5,CQI+cost+regret-graph 3-way union,0.433780622502527,2877.5,1.0,2.9,106.57407407407408,0.9667116650369959
low,seed_0005,medium,4,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.433780622502527,2877.5,1.0,2.9,106.57407407407408,0.9667116650369959
low,seed_0005,heavy,0,5,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0005,heavy,0,5,CQI+cost 2-way union (paper method),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0005,heavy,0,5,CQI+cost+switching 3-way union (former headline),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0005,heavy,0,5,CQI+cost+regret-graph 3-way union,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0005,heavy,0,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0005,heavy,1,5,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0005,heavy,1,5,CQI+cost 2-way union (paper method),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0005,heavy,1,5,CQI+cost+switching 3-way union (former headline),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0005,heavy,1,5,CQI+cost+regret-graph 3-way union,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0005,heavy,1,5,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0005,heavy,2,5,CQI k-means,0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
low,seed_0005,heavy,2,5,CQI+cost 2-way union (paper method),0.35593639169248764,1500.0,1.0,2.0,166.66666666666666,1.0
